Description,HSN_SAC,GSt_Rate,Unit
Conventional Tea 200gm,9021090,5%,nos
Conventional Tea - Ginger 200gm,9021090,5%,nos
Conventional Tea - Cardamom 200gm,9021090,5%,nos
Conventional Tea - Masala 200gm,9021090,5%,nos
Conventional Coffee 200gm,21011190,5%,nos
Premium Tea 200gm,9021090,5%,nos
Elite Tea 200gm,9021090,5%,nos
Elite Tea - Ginger 200gm,9021090,5%,nos
Elite Tea - Cardamom 200gm,9021090,5%,nos
Elite Tea - Masala 200gm,9021090,5%,nos
Filter Coffee 200gm,9012190,5%,nos
Ginger Extract 200gm,333019012,18%,nos
Cardamom Extract 200gm,333019012,18%,nos
Masala Extract 200gm,333019012,18%,nos
Freeze Dried Coffee 200gm,21011120,18%,nos
Lemon Tea 1kg,21012090,18%,kgs
Hot Chocolate 200gm,21013090,18%,nos
Peach Tea 500gm,21012010,18%,nos
Cranberry Tea 500gm,21012010,18%,nos
Wooden Stirrers,44219090,12%,nos
Hybrid Coffee,21011200,18%,nos
Sugar Sachets,17011490,5%,kgs
Paper Cups (150 ml),84191110,18%,nos
Paper Cups (125 ml),84191110,18%,nos
